205.425,131.398,75.874,2,2,4,
238.423,21.894,16.866,3,3,4,
217.138,7.253,11.555,3,3,4,
251.613,22.295,15.648,3,4,4,
120.434,19.407,15.106,2,2,4,
255.861,20.307,15.312,3,3,4,
211.61,7.484,9.491,3,4,4,
209.688,7.112,10.009,3,3,4,
196.349,21.724,11.766,2,2,4,
100.607,6.667,12.294,2,2,4,
1983.15,10.002,32.345,4,5,6,
66916.6,24.974,36.468,6,8,10,
19418,25.124,23.515,5,5,6,
1524.49,24.184,23.883,4,4,6,
10194.7,25.952,23.854,5,6,8,
8128.7,25.62,39.898,5,7,10,
15958.2,26.006,38.296,5,7,6,
9978.86,25.518,24.547,5,6,8,
1411.71,10.963,22.24,4,6,8,
6139.12,25.481,24.047,5,6,6,
880343,27.579,44.855,7,7,8,
1.57563e+06,44.322,74.297,7,11,12,
1.38082e+07,34.799,41.83,8,14,10,
4.02082e+07,30.263,48.84,8,11,12,
1.42476e+06,29.395,34.74,7,9,10,
1.91862e+07,44.872,48.555,8,11,12,
1.19716e+07,42.299,48.462,8,8,14,
965537,30.389,47.033,7,9,10,
136729,28.709,46.952,6,7,10,
1.95953e+06,15.424,50.747,7,11,12,
